#dig start(30; 30; Center tile of a 59-tile square!) This is a 59x59 layout of countless small apartments; the design "cribbed from the wiki" by Meeker. It's HUGE! I like the 3-tile wide corridors. And the 3x3 solid center leaves room to build taodih's 3x3 counter-clockwise spiral ramp staircase.
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,#
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,#
d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,#
d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,#
d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,#
d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,#
`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,#
d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,#
d,`,d,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,d,`,d,#
d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,#
d,`,d,`,`,`,`,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,`,`,`,`,d,`,d,#
d,d,d,d,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,d,d,d,d,#
d,d,d,`,`,`,`,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,`,`,`,`,d,d,d,#
d,d,d,d,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,d,d,d,d,#
d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,d,d,d,#
d,d,d,d,d,d,d,`,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,`,d,d,d,d,d,d,d,#
d,d,d,`,`,`,`,`,d,`,d,`,`,`,`,`,`,`,`,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,`,`,`,`,`,`,`,`,d,`,d,`,`,`,`,`,d,d,d,#
d,d,d,d,d,d,d,`,d,`,d,d,d,d,d,`,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,`,d,d,d,d,d,`,d,`,d,d,d,d,d,d,d,#
d,d,d,`,`,`,`,`,d,`,d,`,`,`,`,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,`,`,`,`,d,`,d,`,`,`,`,`,d,d,d,#
d,d,d,d,d,d,d,`,d,d,d,d,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,`,d,`,d,`,d,`,d,`,d,`,d,`,d,d,d,d,d,d,d,`,d,d,d,d,d,d,d,#
