"#dig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," d"," d"," d"," d"," d"," d"," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," d"," d"," "," "," "," "," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," d"," d"," d"," d"," d"," d"," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," d"," d"," "," "," "," "," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d","j","j","j"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "
," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d","j"," ","j"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "
," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d","j","j","j"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," d"," d"," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," d"," d"," d"," d"," d"," d"," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," d"," d"," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," "," "," "," "," d"," "," d"," "," d"," "," d"," "," d"," d"," d"," d"," d"," d"," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," d"," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," d"," "," d"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
